Data Source,World Development Indicators,,,,,,,,
,,,,,,,,,
Last Updated Date,7/1/20,,,,,,,,
,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2015-2018 avg
Papua New Guinea,PNG,Individuals using the Internet (% of population),IT.NET.USER.ZS,7.9,9.601538462,11.20919659,,,9.570245018
Poland,POL,Individuals using the Internet (% of population),IT.NET.USER.ZS,67.997,73.3007041,75.98536595,77.54173454,,73.70620115
Pre-demographic dividend,PRE,Individuals using the Internet (% of population),IT.NET.USER.ZS,20.26045923,16.5090307,24.06105508,,,20.27684833
Puerto Rico,PRI,Individuals using the Internet (% of population),IT.NET.USER.ZS,63.47,68.6438072,70.59787359,,,67.57056026
"Korea, Dem. People’s Rep.",PRK,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,#DIV/0!
Portugal,PRT,Individuals using the Internet (% of population),IT.NET.USER.ZS,68.6329,70.42356709,73.79121395,74.66096811,,71.87716229
Paraguay,PRY,Individuals using the Internet (% of population),IT.NET.USER.ZS,49.72,53.40412748,61.07575622,64.99354302,,57.29835668
West Bank and Gaza,PSE,Individuals using the Internet (% of population),IT.NET.USER.ZS,57.42419241,61.17838483,65.2,64.39999371,,62.05064274
Pacific island small states,PSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,27.63830274,30.23606451,32.70396341,,,30.19277689
Post-demographic dividend,PST,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.71888214,83.20461215,83.82075865,,,81.91475098
French Polynesia,PYF,Individuals using the Internet (% of population),IT.NET.USER.ZS,64.56020975,68.44041949,72.70389531,,,68.56817485
Qatar,QAT,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.88482645,95.12466217,97.38884917,99.65284913,,96.26279673
Romania,ROU,Individuals using the Internet (% of population),IT.NET.USER.ZS,55.7632,59.50395129,63.74728218,70.68127793,,62.42392785
Russian Federation,RUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.1,73.09143462,76.00813853,80.86472142,,75.01607364
Rwanda,RWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,18,20,21.76763262,,,19.92254421
South Asia,SAS,Individuals using the Internet (% of population),IT.NET.USER.ZS,16.22347302,20.23984948,30.09918405,,,22.18750218
Saudi Arabia,SAU,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.6162358,74.87927469,82.12000121,93.31000185,,79.98137839
Sudan,SDN,Individuals using the Internet (% of population),IT.NET.USER.ZS,26.61,14.09999994,30.87029573,,,23.86009856
Senegal,SEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,27,25.66476804,46,,,32.88825601
Singapore,SGP,Individuals using the Internet (% of population),IT.NET.USER.ZS,79.012957,84.45226789,84.44953878,88.16563603,,84.02009993
Solomon Islands,SLB,Individuals using the Internet (% of population),IT.NET.USER.ZS,10.00046498,11.00090227,11.92422906,,,10.97519877
Sierra Leone,SLE,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.344421603,11.77318438,9,,,9.039201994
El Salvador,SLV,Individuals using the Internet (% of population),IT.NET.USER.ZS,26.80260496,28.99707305,33.8207289,,,29.87346897
San Marino,SMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,60.18230126,,,60.18230126
Somalia,SOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.76,1.88,2.004048698,,,1.881349566
Serbia,SRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,65.3170254,67.05684137,70.33083553,73.36070915,,69.01635286
Sub-Saharan Africa (excluding high income),SSA,Individuals using the Internet (% of population),IT.NET.USER.ZS,20.70548197,19.29714536,25.37610995,,,21.79291243
South Sudan,SSD,Individuals using the Internet (% of population),IT.NET.USER.ZS,5.5,6.679728051,7.977428907,,,6.719052319
